Name,Petals,Sepal_Length,Height,Type
Rose,32,5.5,45,Shrub
Daisy,21,4.2,25,Herbaceous
Sunflower,34,7.8,150,Annual
Marigold,25,4.7,32,Annual
Chrysanthemum,40,6.0,35,Herbaceous
Peony,30,6.5,50,Shrub
Iris,3,5.8,37,Herbaceous
Orchid,5,4.0,22,Herbaceous
Carnation,25,5.1,42,Herbaceous
Zinnia,20,4.9,47,Annual
Gerbera,22,5.6,31,Herbaceous
Pansy,5,4.1,17,Annual
Petunia,5,4.4,27,Annual
Snapdragon,8,5.3,62,Herbaceous
Lavender,10,3.9,43,Shrub
Jasmine,5,4.6,33,Shrub
Magnolia,12,7.1,195,Shrub
Hibiscus,5,6.9,145,Shrub
Azalea,5,5.2,65,Shrub
Camellia,20,6.3,85,Shrub
Gardenia,15,5.7,55,Shrub
Dahlia,30,6.6,63,Herbaceous
Cosmos,8,4.8,52,Annual
Aster,25,5.4,44,Herbaceous
Violet,5,3.6,12,Herbaceous
Primrose,5,4.3,19,Annual
Begonia,10,4.5,28,Annual
Phlox,5,4.9,41,Herbaceous
Salvia,5,5.0,53,Herbaceous
Lupine,10,5.9,64,Herbaceous
Columbine,5,4.7,46,Herbaceous
Foxglove,5,5.4,105,Herbaceous
Poppy,4,5.1,34,Annual
Anemone,8,4.6,29,Herbaceous
Ranunculus,20,5.2,36,Herbaceous
Sweet Pea,5,4.8,66,Annual
Verbena,5,4.4,31,Annual
Heliotrope,5,4.9,45,Herbaceous
Stock,10,5.3,54,Herbaceous
Alyssum,4,3.7,16,Annual
Cornflower,20,5.0,61,Annual
Hydrangea,20,6.1,75,Shrub
Lilac,15,5.3,83,Shrub
Rhododendron,10,5.9,95,Shrub
Forsythia,4,4.6,110,Shrub
Buddleia,5,5.1,125,Shrub
Spirea,5,4.9,67,Shrub
Weigela,5,5.4,72,Shrub
Viburnum,5,5.2,87,Shrub
Hollyhock,5,6.2,155,Herbaceous
Delphinium,10,5.6,130,Herbaceous
Echinacea,20,5.1,43,Herbaceous
Rudbeckia,15,5.3,52,Herbaceous
Coreopsis,8,4.9,33,Herbaceous
Gaillardia,12,5.0,37,Herbaceous
Yarrow,5,4.8,42,Herbaceous
Sedum,5,4.7,27,Herbaceous
Hosta,5,5.1,32,Herbaceous
Daylily,6,5.7,62,Herbaceous
Coneflower,15,5.4,48,Herbaceous
Black-eyed Susan,20,5.2,54,Herbaceous
Nasturtium,5,4.6,23,Annual
Calendula,15,4.9,35,Annual
Cleome,5,5.1,64,Annual
Impatiens,5,4.3,26,Annual
Portulaca,5,4.1,18,Annual
Vinca,5,4.7,24,Annual
Gazania,10,4.9,28,Annual
Lobelia,5,4.2,14,Annual
Nicotiana,5,5.2,55,Annual
Amaranth,5,5.6,110,Annual
Celosia,10,4.8,44,Annual
Gomphrena,5,4.6,34,Annual
Salpiglossis,5,5.3,52,Annual
Tithonia,10,5.5,130,Annual
Ageratum,5,4.4,22,Annual
Dianthus,10,4.9,36,Herbaceous
Campanula,5,5.1,45,Herbaceous
Penstemon,5,5.3,53,Herbaceous
Monarda,5,5.0,42,Herbaceous
Veronica,5,4.9,38,Herbaceous
Scabiosa,10,5.2,43,Herbaceous
Eryngium,5,5.6,65,Herbaceous
Liatris,5,5.1,75,Herbaceous
Kniphofia,5,5.4,85,Herbaceous
Agapanthus,10,5.7,63,Herbaceous
Allium,20,5.0,55,Herbaceous
Heuchera,5,4.6,33,Herbaceous
Astilbe,5,5.2,46,Herbaceous
Helenium,15,5.4,52,Herbaceous
Mimosa,10,5.8,85,Shrub
Oleander,5,5.1,105,Shrub
Crape Myrtle,5,5.3,115,Shrub
Barberry,5,4.9,62,Shrub
Boxwood,5,4.7,73,Shrub
Euonymus,5,5.2,82,Shrub
Privet,5,4.8,92,Shrub
